"ingredient","basis","moisture_pct","me","amen","ne","cp","starch","sugars","ee","linoleic","linolenic","oleic","sfa","ufa","cf","ndf","adf","lignin","nsp_total","nsp_sol","nsp_insol","beta_glucans","arabinoxylans","ca","p_total","avp","npp","dig_p","mg","s","na","k","cl","deb","sid_lys","sid_met","sid_cys","sid_metcys","sid_thr","sid_trp","sid_arg","sid_ile","sid_val","sid_leu","sid_his","sid_phe","sid_tyr","sid_gly","sid_ser","sid_pro","total_lys","total_met","total_cys","total_metcys","total_thr","total_trp","total_arg","total_ile","total_val","total_leu","total_his","total_phe","total_tyr","total_gly","total_ser","total_pro","vit_a","vit_d3","vit_e","vit_k","vit_b1","vit_b2","vit_b6","vit_b12","niacin","pantothenic_acid","folic_acid","biotin","choline","zn","mn","cu","fe","i","se"
"corn","as_fed","12","3350",,,"8.5",,,,,,,,,,,,,,,,,,"0.02",,"0.06",,,,,"0.02","0.31","0.03",,"0.24","0.18",,"0.35","0.27","0.06","0.32","0.24","0.31","0.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sbm_48",,,"2260",,,"48.0",,,,,,,,,,,,,,,,,,"0.29",,"0.18",,,,,"0.02","2.09","0.03",,"2.75","0.62",,"1.35","1.75","0.62","3.05","2.05","2.15","3.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sbm_46",,,"2220",,,"46.0",,,,,,,,,,,,,,,,,,"0.29",,"0.17",,,,,"0.02","2.00","0.03",,"2.65","0.60",,"1.30","1.68","0.58","2.95","1.95","2.05","3.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"soybean_meal",,,"2260",,,"48.0",,,,,,,,,,,,,,,,,,"0.29",,"0.18",,,,,"0.02","2.09","0.03",,"2.75","0.62",,"1.35","1.75","0.62","3.05","2.05","2.15","3.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"soy_oil",,,"9000",,,"0.0",,,,,,,,,,,,,,,,,,"0.0",,"0.0",,,,,"0.0","0.0","0.0",,"0.0","0.0",,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"limestone",,,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,"38.0",,"0.0",,,,,"0.0","0.0","0.0",,"0.0","0.0",,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mcp",,,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,"16.7",,"19.1",,,,,"0.0","0.0","0.0",,"0.0","0.0",,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dcp",,,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,"23.9",,"13.3",,,,,"0.0","0.0","0.0",,"0.0","0.0",,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"salt",,,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,"0.0",,"0.0",,,,,"39.34","0.0","60.66",,"0.0","0.0",,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dl_met",,,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,"0.0",,"0.0",,,,,"0.0","0.0","0.0",,"0.0","99.0",,"99.0","0.0","0.0","0.0","0.0","0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"l_lys_hcl",,,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,"0.0",,"0.0",,,,,"0.0","0.0","19.0",,"78.8","0.0",,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"l_thr",,,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,"0.0",,"0.0",,,,,"0.0","0.0","0.0",,"0.0","0.0",,"0.0","98.5","0.0","0.0","0.0","0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"l_trp",,,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,"0.0",,"0.0",,,,,"0.0","0.0","0.0",,"0.0","0.0",,"0.0","0.0","98.0","0.0","0.0","0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"oil",,,"9000",,,"0.0",,,,,,,,,,,,,,,,,,"0.0",,"0.0",,,,,"0.0","0.0","0.0",,"0.0","0.0",,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"corn_dm_10","as_fed","10","3426.1",,,"8.693182",,,,,,,,,,,,,,,,,,"0.020455",,"0.061364",,,,,"0.020455","0.317045","0.030682",,"0.245455","0.184091",,"0.357955","0.276136","0.061364","0.327273","0.245455","0.317045","0.7875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"corn_dm_12","as_fed","12","3350",,,"8.5",,,,,,,,,,,,,,,,,,"0.02",,"0.06",,,,,"0.02","0.31","0.03",,"0.24","0.18",,"0.35","0.27","0.06","0.32","0.24","0.31","0.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"corn_dm_8","as_fed","8","3502.3",,,"8.886364",,,,,,,,,,,,,,,,,,"0.020909",,"0.062727",,,,,"0.020909","0.324091","0.031364",,"0.250909","0.188182",,"0.365909","0.282273","0.062727","0.334545","0.250909","0.324091","0.805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"corn_dm_14","as_fed","14","3273.9",,,"8.306818",,,,,,,,,,,,,,,,,,"0.019545",,"0.058636",,,,,"0.019545","0.302955","0.029318",,"0.234545","0.175909",,"0.342045","0.263864","0.058636","0.312727","0.234545","0.302955","0.7525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"corn_dm_9","as_fed","9","3464.2",,,"8.789773",,,,,,,,,,,,,,,,,,"0.020682",,"0.062045",,,,,"0.020682","0.320568","0.031023",,"0.248182","0.186136",,"0.361932","0.279205","0.062045","0.330909","0.248182","0.320568","0.79625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"corn_dm_15","as_fed","15","3235.8",,,"8.210227",,,,,,,,,,,,,,,,,,"0.019318",,"0.057955",,,,,"0.019318","0.299432","0.028977",,"0.231818","0.173864",,"0.338068","0.260795","0.057955","0.309091","0.231818","0.299432","0.74375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
